słowo, udział procentowy w wikipedii duńskiej, stała prawa zipfa
digte, 0.00005%, 0.09307
wikidata, 0.00005%, 0.09301
joe, 0.00005%, 0.09289
notabilitet, 0.00005%, 0.09289
danskefilmfra, 0.00005%, 0.09287
natur, 0.00005%, 0.09290
tider, 0.00005%, 0.09288
grønne, 0.00005%, 0.09294
styre, 0.00005%, 0.09295
begrænset, 0.00005%, 0.09299
thumb, 0.00005%, 0.09304
kærlighed, 0.00005%, 0.09300
minister, 0.00005%, 0.09304
næstved, 0.00005%, 0.09305
julius, 0.00005%, 0.09303
egypten, 0.00005%, 0.09298
anlagt, 0.00005%, 0.09292
bibliografi, 0.00005%, 0.09290
afdeling, 0.00005%, 0.09294
etablerede, 0.00005%, 0.09286
student, 0.00005%, 0.09286
elever, 0.00005%, 0.09289
forenede, 0.00005%, 0.09293
opnå, 0.00005%, 0.09294
udvalgte, 0.00005%, 0.09296
real, 0.00005%, 0.09296
præst, 0.00005%, 0.09294
resultatet, 0.00005%, 0.09297
tegn, 0.00005%, 0.09300
dennes, 0.00005%, 0.09284
barcelona, 0.00005%, 0.09289
parameter, 0.00005%, 0.09294
undersøgelser, 0.00005%, 0.09290
modstand, 0.00005%, 0.09283
contest, 0.00005%, 0.09286
association, 0.00005%, 0.09288
town, 0.00005%, 0.09287
gengæld, 0.00005%, 0.09285
hvori, 0.00005%, 0.09279
college, 0.00005%, 0.09279
øverste, 0.00005%, 0.09270
hjemme, 0.00005%, 0.09271
holger, 0.00005%, 0.09271
vægt, 0.00005%, 0.09269
long, 0.00005%, 0.09270
lukket, 0.00005%, 0.09271
video, 0.00005%, 0.09267
søgte, 0.00005%, 0.09269
copenhagen, 0.00005%, 0.09269
kristian, 0.00005%, 0.09272
aktiviteter, 0.00005%, 0.09246
projekt, 0.00005%, 0.09249
udgjorde, 0.00005%, 0.09249
anses, 0.00005%, 0.09254
sydøst, 0.00005%, 0.09259
trommer, 0.00005%, 0.09260
back, 0.00005%, 0.09263
bro, 0.00005%, 0.09267
manglende, 0.00005%, 0.09270
indviet, 0.00005%, 0.09273
halvdel, 0.00005%, 0.09276
jesus, 0.00005%, 0.09280
title, 0.00005%, 0.09272
lavede, 0.00005%, 0.09260
brian, 0.00005%, 0.09256
fjord, 0.00005%, 0.09261
nå, 0.00005%, 0.09264
mogens, 0.00005%, 0.09268
udenlandske, 0.00005%, 0.09260
levende, 0.00005%, 0.09261
journal, 0.00005%, 0.09262
betydninger, 0.00005%, 0.09264
herrer, 0.00005%, 0.09263
mette, 0.00005%, 0.09266
mia, 0.00005%, 0.09266
henning, 0.00005%, 0.09265
slottet, 0.00005%, 0.09268
virke, 0.00005%, 0.09273
læge, 0.00005%, 0.09278
valdemar, 0.00005%, 0.09278
aligncenter, 0.00005%, 0.09272
socialdemokratiet, 0.00005%, 0.09267
google, 0.00005%, 0.09250
administrative, 0.00005%, 0.09255
format, 0.00005%, 0.09256
jr, 0.00005%, 0.09261
bill, 0.00005%, 0.09265
rød, 0.00005%, 0.09266
kroatien, 0.00005%, 0.09271
tennis, 0.00005%, 0.09268
søen, 0.00005%, 0.09273
ren, 0.00005%, 0.09276
hvorfra, 0.00005%, 0.09268
årige, 0.00005%, 0.09268
betydelig, 0.00005%, 0.09269
ha, 0.00005%, 0.09270
behov, 0.00005%, 0.09273
toppen, 0.00005%, 0.09278
christopher, 0.00005%, 0.09281
sådanne, 0.00005%, 0.09281
berlingske, 0.00005%, 0.09284
nørre, 0.00005%, 0.09264
klaver, 0.00005%, 0.09267
hverken, 0.00005%, 0.09267
series, 0.00005%, 0.09270
fuld, 0.00005%, 0.09273
revolution, 0.00005%, 0.09274
green, 0.00005%, 0.09273
eksemplarer, 0.00005%, 0.09276
selvstændig, 0.00005%, 0.09275
poulsen, 0.00005%, 0.09278
maleri, 0.00005%, 0.09280
omfattede, 0.00005%, 0.09281
sidstnævnte, 0.00005%, 0.09284
ln, 0.00005%, 0.09285
ender, 0.00005%, 0.09284
procent, 0.00005%, 0.09287
fyn, 0.00005%, 0.09288
engang, 0.00005%, 0.09286
redaktør, 0.00005%, 0.09285
kvalificerede, 0.00005%, 0.09277
mesterskabet, 0.00005%, 0.09281
indspillet, 0.00005%, 0.09281
omtrent, 0.00005%, 0.09280
ændre, 0.00005%, 0.09285
gods, 0.00005%, 0.09290
its, 0.00005%, 0.09289
adolf, 0.00005%, 0.09294
stater, 0.00005%, 0.09291
politiet, 0.00005%, 0.09294
regnes, 0.00005%, 0.09289
rejser, 0.00005%, 0.09294
lege, 0.00005%, 0.09291
slægten, 0.00005%, 0.09294
knyttet, 0.00005%, 0.09294
bestyrelsen, 0.00005%, 0.09295
list, 0.00005%, 0.09294
billedet, 0.00005%, 0.09295
magnus, 0.00005%, 0.09298
oversættelse, 0.00005%, 0.09301
premierminister, 0.00005%, 0.09296
trække, 0.00005%, 0.09280
kategorien, 0.00005%, 0.09279
old, 0.00005%, 0.09282
åbnet, 0.00005%, 0.09273
ringe, 0.00005%, 0.09278
styrmand, 0.00005%, 0.09281
sønner, 0.00005%, 0.09274
tyskerne, 0.00005%, 0.09273
køge, 0.00005%, 0.09278
fodboldspillere, 0.00005%, 0.09277
forekommer, 0.00005%, 0.09278
skabelonen, 0.00005%, 0.09283
vidt, 0.00005%, 0.09274
etc, 0.00005%, 0.09275
diverse, 0.00005%, 0.09278
stigende, 0.00005%, 0.09281
atletik, 0.00005%, 0.09282
major, 0.00005%, 0.09279
burde, 0.00005%, 0.09282
sikkert, 0.00005%, 0.09285
ryttere, 0.00005%, 0.09288
bevægelse, 0.00005%, 0.09292
timed, 0.00005%, 0.09274
academy, 0.00005%, 0.09277
jackson, 0.00005%, 0.09278
repræsenteret, 0.00005%, 0.09269
flest, 0.00005%, 0.09274
template, 0.00005%, 0.09276
kortfilm, 0.00005%, 0.09277
jonas, 0.00005%, 0.09280
enhed, 0.00005%, 0.09283
produktionen, 0.00005%, 0.09288
elementer, 0.00005%, 0.09279
fjernet, 0.00005%, 0.09282
hollywood, 0.00005%, 0.09269
størstedelen, 0.00005%, 0.09272
state, 0.00005%, 0.09269
cykelrytter, 0.00005%, 0.09273
offentlig, 0.00005%, 0.09266
sag, 0.00005%, 0.09269
sammenhæng, 0.00005%, 0.09268
vs, 0.00005%, 0.09271
planer, 0.00005%, 0.09274
kategoridokumentarfilm, 0.00005%, 0.09278
force, 0.00005%, 0.09265
hav, 0.00005%, 0.09264
ødelagt, 0.00005%, 0.09267
motor, 0.00005%, 0.09272
symbol, 0.00005%, 0.09273
overtaget, 0.00005%, 0.09273
bob, 0.00005%, 0.09276
rent, 0.00005%, 0.09279
vor, 0.00005%, 0.09284
grænse, 0.00005%, 0.09286
walter, 0.00005%, 0.09285
great, 0.00005%, 0.09278
hånd, 0.00005%, 0.09277
religiøse, 0.00005%, 0.09282
hellige, 0.00005%, 0.09280
udgivelse, 0.00005%, 0.09281
summer, 0.00005%, 0.09286
internationalt, 0.00005%, 0.09288
primære, 0.00005%, 0.09285
tønder, 0.00005%, 0.09290
udvalg, 0.00005%, 0.09293
vokal, 0.00005%, 0.09297
dan, 0.00005%, 0.09300
svarer, 0.00005%, 0.09303
lære, 0.00005%, 0.09304
lord, 0.00005%, 0.09306
biler, 0.00005%, 0.09309
little, 0.00005%, 0.09312
radikale, 0.00005%, 0.09314
ejet, 0.00005%, 0.09317
polske, 0.00005%, 0.09314
eftersom, 0.00005%, 0.09313
mængde, 0.00005%, 0.09315
byggede, 0.00005%, 0.09318
fort, 0.00005%, 0.09315
margrethe, 0.00005%, 0.09319
parret, 0.00005%, 0.09320
heriblandt, 0.00005%, 0.09321
tvserier, 0.00005%, 0.09319
hæren, 0.00005%, 0.09322
mandlige, 0.00005%, 0.09317
dødsfald, 0.00005%, 0.09319
føre, 0.00005%, 0.09316
brøndby, 0.00005%, 0.09319
kloster, 0.00005%, 0.09309
farve, 0.00005%, 0.09314
menneske, 0.00005%, 0.09318
professionelle, 0.00005%, 0.09319
forsøger, 0.00005%, 0.09320
sydkorea, 0.00005%, 0.09318
natten, 0.00005%, 0.09321
aage, 0.00005%, 0.09324
firmaet, 0.00005%, 0.09324
markeret, 0.00005%, 0.09307
farver, 0.00005%, 0.09311
grundet, 0.00005%, 0.09316
almindeligt, 0.00005%, 0.09317
estland, 0.00005%, 0.09321
dertil, 0.00005%, 0.09324
relativt, 0.00005%, 0.09322
virginia, 0.00005%, 0.09327
zone, 0.00005%, 0.09332
indført, 0.00005%, 0.09332
east, 0.00005%, 0.09337
road, 0.00005%, 0.09341
ferdinand, 0.00005%, 0.09344
funktion, 0.00005%, 0.09347
værdi, 0.00005%, 0.09349
was, 0.00005%, 0.09350
drift, 0.00005%, 0.09346
inkluderer, 0.00005%, 0.09345
sogne, 0.00005%, 0.09347
deltager, 0.00005%, 0.09350
betragtes, 0.00005%, 0.09348
automatisk, 0.00005%, 0.09353
skuespillerinde, 0.00005%, 0.09356
mike, 0.00005%, 0.09360
femte, 0.00005%, 0.09359
bærer, 0.00005%, 0.09359
sygdom, 0.00005%, 0.09356
bent, 0.00005%, 0.09360
pave, 0.00005%, 0.09363
slesvigholsten, 0.00005%, 0.09357
imellem, 0.00005%, 0.09360
medførte, 0.00005%, 0.09360
kontakt, 0.00005%, 0.09344
flertal, 0.00005%, 0.09337
rum, 0.00005%, 0.09335
oversigt, 0.00005%, 0.09339
omtale, 0.00005%, 0.09336
ramt, 0.00005%, 0.09340
bar, 0.00005%, 0.09339
indsats, 0.00005%, 0.09341
svendborg, 0.00005%, 0.09346
fugle, 0.00005%, 0.09346
straks, 0.00005%, 0.09351
litauen, 0.00005%, 0.09341
ligaen, 0.00005%, 0.09346
when, 0.00005%, 0.09346
forsvar, 0.00005%, 0.09344
bladet, 0.00005%, 0.09347
omtalt, 0.00005%, 0.09349
ledet, 0.00005%, 0.09350
fjorden, 0.00005%, 0.09344
kategoridansksprogede, 0.00005%, 0.09348
tabt, 0.00005%, 0.09351
website, 0.00005%, 0.09353
teknisk, 0.00005%, 0.09352
ført, 0.00005%, 0.09356
formentlig, 0.00005%, 0.09359
mad, 0.00005%, 0.09363
hovedkvarter, 0.00005%, 0.09368
kvalificeret, 0.00005%, 0.09366
bane, 0.00005%, 0.09356
falder, 0.00005%, 0.09359
republikken, 0.00005%, 0.09363
pige, 0.00005%, 0.09368
afviklet, 0.00005%, 0.09362
sjældent, 0.00005%, 0.09358
bjørn, 0.00005%, 0.09356
fjerne, 0.00005%, 0.09348
kategorier, 0.00005%, 0.09344
norges, 0.00005%, 0.09347
retrieved, 0.00005%, 0.09347
klassiske, 0.00004%, 0.09349
philip, 0.00004%, 0.09335
generation, 0.00004%, 0.09340
chicago, 0.00004%, 0.09344
oprette, 0.00004%, 0.09336
championships, 0.00004%, 0.09340
medaljer, 0.00004%, 0.09337
arrangeret, 0.00004%, 0.09339
palnatoke, 0.00004%, 0.09327
digital, 0.00004%, 0.09327
hjørring, 0.00004%, 0.09321
amager, 0.00004%, 0.09323
slå, 0.00004%, 0.09319
skrifter, 0.00004%, 0.09313
cambridge, 0.00004%, 0.09311
gård, 0.00004%, 0.09314
perioder, 0.00004%, 0.09316
magten, 0.00004%, 0.09318
gården, 0.00004%, 0.09321
vækst, 0.00004%, 0.09321
opgaver, 0.00004%, 0.09319
frie, 0.00004%, 0.09323
interview, 0.00004%, 0.09322
videnskabelige, 0.00004%, 0.09324
grundlæggende, 0.00004%, 0.09322
veje, 0.00004%, 0.09307
ring, 0.00004%, 0.09310
bas, 0.00004%, 0.09314
toxophilus, 0.00004%, 0.09312
thomsen, 0.00004%, 0.09312
ønske, 0.00004%, 0.09313
tidlig, 0.00004%, 0.09317
kinesiske, 0.00004%, 0.09315
roger, 0.00004%, 0.09319
flytte, 0.00004%, 0.09322
states, 0.00004%, 0.09311
brand, 0.00004%, 0.09297
designet, 0.00004%, 0.09297
studerende, 0.00004%, 0.09299
kender, 0.00004%, 0.09303
køre, 0.00004%, 0.09303
stjerner, 0.00004%, 0.09306
tekster, 0.00004%, 0.09310
provsti, 0.00004%, 0.09310
heat, 0.00004%, 0.09310
indeholdt, 0.00004%, 0.09313
opfattelse, 0.00004%, 0.09317
amtskreds, 0.00004%, 0.09321
kreis, 0.00004%, 0.09324
asien, 0.00004%, 0.09326
hidtil, 0.00004%, 0.09330
hollandske, 0.00004%, 0.09320
tilhørende, 0.00004%, 0.09322
roller, 0.00004%, 0.09324
originale, 0.00004%, 0.09324
gaden, 0.00004%, 0.09329
victor, 0.00004%, 0.09326
lavere, 0.00004%, 0.09327
tilhører, 0.00004%, 0.09329
nærmest, 0.00004%, 0.09331
resolution, 0.00004%, 0.09331
sagt, 0.00004%, 0.09333
bornholm, 0.00004%, 0.09331
kategorifaglitterære, 0.00004%, 0.09333
historik, 0.00004%, 0.09331
ændrede, 0.00004%, 0.09333
effekt, 0.00004%, 0.09336
egentlige, 0.00004%, 0.09338
use, 0.00004%, 0.09340
blade, 0.00004%, 0.09340
svg, 0.00004%, 0.09340
offentliggjort, 0.00004%, 0.09342
projekter, 0.00004%, 0.09342
nykøbing, 0.00004%, 0.09347
nil, 0.00004%, 0.09347
bortset, 0.00004%, 0.09340
jylland, 0.00004%, 0.09340
elizabeth, 0.00004%, 0.09342
ungdom, 0.00004%, 0.09340
alliance, 0.00004%, 0.09338
udvikle, 0.00004%, 0.09340
linjer, 0.00004%, 0.09342
haderslev, 0.00004%, 0.09344
ankom, 0.00004%, 0.09349
planlagt, 0.00004%, 0.09353
texas, 0.00004%, 0.09342
mine, 0.00004%, 0.09344
skive, 0.00004%, 0.09344
kommunalreformen, 0.00004%, 0.09344
olympics, 0.00004%, 0.09349
more, 0.00004%, 0.09344
flertydig, 0.00004%, 0.09348
stærke, 0.00004%, 0.09351
ydre, 0.00004%, 0.09353
frederikshavn, 0.00004%, 0.09357
fund, 0.00004%, 0.09353
udlandet, 0.00004%, 0.09357
lewis, 0.00004%, 0.09361
formel, 0.00004%, 0.09361
websted, 0.00004%, 0.09363
villa, 0.00004%, 0.09368
varer, 0.00004%, 0.09365
part, 0.00004%, 0.09370
læse, 0.00004%, 0.09372
sønderjylland, 0.00004%, 0.09365
brown, 0.00004%, 0.09369
like, 0.00004%, 0.09369
fl, 0.00004%, 0.09369
koncerter, 0.00004%, 0.09369
sejre, 0.00004%, 0.09371
caroline, 0.00004%, 0.09373
citat, 0.00004%, 0.09364
victoria, 0.00004%, 0.09368
taylor, 0.00004%, 0.09355
sikrede, 0.00004%, 0.09353
notabel, 0.00004%, 0.09353
kinesisk, 0.00004%, 0.09355
arabiske, 0.00004%, 0.09352
relevant, 0.00004%, 0.09352
sikkerhed, 0.00004%, 0.09354
holbæk, 0.00004%, 0.09356
årligt, 0.00004%, 0.09345
kanal, 0.00004%, 0.09345
flensborg, 0.00004%, 0.09338
flyet, 0.00004%, 0.09340
blomster, 0.00004%, 0.09338
tak, 0.00004%, 0.09340
what, 0.00004%, 0.09342
besøg, 0.00004%, 0.09344
udtalte, 0.00004%, 0.09348
fodboldklub, 0.00004%, 0.09350
populær, 0.00004%, 0.09352
rettigheder, 0.00004%, 0.09354
language, 0.00004%, 0.09356
grundlagde, 0.00004%, 0.09358
eksisterende, 0.00004%, 0.09358
organisationer, 0.00004%, 0.09353
kategorimodtagere, 0.00004%, 0.09346
indsat, 0.00004%, 0.09348
double, 0.00004%, 0.09348
henviser, 0.00004%, 0.09343
denmark, 0.00004%, 0.09347
klassisk, 0.00004%, 0.09349
skade, 0.00004%, 0.09347
spilles, 0.00004%, 0.09335
spillefilm, 0.00004%, 0.09313
nico, 0.00004%, 0.09317
skoler, 0.00004%, 0.09314
go, 0.00004%, 0.09319
midtjylland, 0.00004%, 0.09321
arm, 0.00004%, 0.09307
rettet, 0.00004%, 0.09304
johnson, 0.00004%, 0.09306
who, 0.00004%, 0.09310
organisationen, 0.00004%, 0.09312
jernbane, 0.00004%, 0.09316
europe, 0.00004%, 0.09318
kategoripolitikere, 0.00004%, 0.09320
svar, 0.00004%, 0.09315
konkurrence, 0.00004%, 0.09317
steve, 0.00004%, 0.09322
åben, 0.00004%, 0.09314
kategorialbum, 0.00004%, 0.09312
kmt, 0.00004%, 0.09312
opnået, 0.00004%, 0.09316
youtube, 0.00004%, 0.09309
premier, 0.00004%, 0.09306
foretaget, 0.00004%, 0.09303
tilsyneladende, 0.00004%, 0.09303
ford, 0.00004%, 0.09307
egenskaber, 0.00004%, 0.09304
note, 0.00004%, 0.09309
starter, 0.00004%, 0.09308
oprettede, 0.00004%, 0.09301
only, 0.00004%, 0.09305
turnering, 0.00004%, 0.09307
dømt, 0.00004%, 0.09307
about, 0.00004%, 0.09308
retten, 0.00004%, 0.09310
base, 0.00004%, 0.09310
nødvendigt, 0.00004%, 0.09303
sovjetisk, 0.00004%, 0.09302
kysten, 0.00004%, 0.09299
konkurrencen, 0.00004%, 0.09301
hospital, 0.00004%, 0.09303
lav, 0.00004%, 0.09300
fremme, 0.00004%, 0.09302
trådte, 0.00004%, 0.09304
vedkommende, 0.00004%, 0.09306
distrikt, 0.00004%, 0.09310
arkitektur, 0.00004%, 0.09312
industri, 0.00004%, 0.09307
nordamerika, 0.00004%, 0.09309
gennemført, 0.00004%, 0.09310
frit, 0.00004%, 0.09312
string, 0.00004%, 0.09314
bestemte, 0.00004%, 0.09298
oprør, 0.00004%, 0.09299
undervisning, 0.00004%, 0.09299
bergen, 0.00004%, 0.09303
flod, 0.00004%, 0.09289
fredericia, 0.00004%, 0.09293
avis, 0.00004%, 0.09295
amsterdam, 0.00004%, 0.09292
fløj, 0.00004%, 0.09296
sætter, 0.00004%, 0.09298
kategoriophørt, 0.00004%, 0.09297
rummer, 0.00004%, 0.09299
kategorimusikgrupper, 0.00004%, 0.09303
see, 0.00004%, 0.09296
fortsætter, 0.00004%, 0.09295
kategoririddere, 0.00004%, 0.09299
bil, 0.00004%, 0.09303
grøn, 0.00004%, 0.09300
medicin, 0.00004%, 0.09297
jøder, 0.00004%, 0.09299
ivan, 0.00004%, 0.09303
julie, 0.00004%, 0.09305
afstand, 0.00004%, 0.09304
involveret, 0.00004%, 0.09297
fader, 0.00004%, 0.09294
franz, 0.00004%, 0.09296
introduceret, 0.00004%, 0.09293
tradition, 0.00004%, 0.09295
tryk, 0.00004%, 0.09299
opmærksomhed, 0.00004%, 0.09296
slet, 0.00004%, 0.09300
tilhørte, 0.00004%, 0.09297
dm, 0.00004%, 0.09298
hitler, 0.00004%, 0.09296
sydafrika, 0.00004%, 0.09293
anerkendt, 0.00004%, 0.09285
two, 0.00004%, 0.09284
sveriges, 0.00004%, 0.09279
bk, 0.00004%, 0.09281
teori, 0.00004%, 0.09282
metode, 0.00004%, 0.09277
ms, 0.00004%, 0.09281
ophold, 0.00004%, 0.09285
finske, 0.00004%, 0.09289
default, 0.00004%, 0.09291
bang, 0.00004%, 0.09290
faste, 0.00004%, 0.09292
opdelt, 0.00004%, 0.09284
hjemsted, 0.00004%, 0.09288
johnny, 0.00004%, 0.09285
karrieren, 0.00004%, 0.09280
danne, 0.00004%, 0.09282
færdig, 0.00004%, 0.09281
skåne, 0.00004%, 0.09285
liter, 0.00004%, 0.09282
vladimir, 0.00004%, 0.09283
senest, 0.00004%, 0.09283
fredet, 0.00004%, 0.09284
landsbyer, 0.00004%, 0.09286
døden, 0.00004%, 0.09278
jødiske, 0.00004%, 0.09278
vælge, 0.00004%, 0.09279
kirkens, 0.00004%, 0.09276
anton, 0.00004%, 0.09275
fuldstændig, 0.00004%, 0.09277
publikum, 0.00004%, 0.09279
udgivelsen, 0.00004%, 0.09278
rekord, 0.00004%, 0.09279
womens, 0.00004%, 0.09283
brugen, 0.00004%, 0.09280
rose, 0.00004%, 0.09282
date, 0.00004%, 0.09283
madglad, 0.00004%, 0.09287
emne, 0.00004%, 0.09284
rigtig, 0.00004%, 0.09288
mytologi, 0.00004%, 0.09290
kæmpede, 0.00004%, 0.09294
golden, 0.00004%, 0.09293
kandidat, 0.00004%, 0.09292
masse, 0.00004%, 0.09294
tilladelse, 0.00004%, 0.09295
lag, 0.00004%, 0.09299
omtales, 0.00004%, 0.09299
alignleft, 0.00004%, 0.09303
preussen, 0.00004%, 0.09306
wilson, 0.00004%, 0.09306
australian, 0.00004%, 0.09305
kraftigt, 0.00004%, 0.09306
filminstruktør, 0.00004%, 0.09308
leve, 0.00004%, 0.09310
islands, 0.00004%, 0.09314
nation, 0.00004%, 0.09313
slagelse, 0.00004%, 0.09300
sønderborg, 0.00004%, 0.09292
foregik, 0.00004%, 0.09286
fortsætte, 0.00004%, 0.09283
ein, 0.00004%, 0.09282
oberst, 0.00004%, 0.09284
vokser, 0.00004%, 0.09281
endda, 0.00004%, 0.09282
alex, 0.00004%, 0.09284
lukkede, 0.00004%, 0.09285
mikkel, 0.00004%, 0.09277
christiansen, 0.00004%, 0.09279
bulgarien, 0.00004%, 0.09283
johansen, 0.00004%, 0.09282
menes, 0.00004%, 0.09281
fa, 0.00004%, 0.09280
katolske, 0.00004%, 0.09281
generalmajor, 0.00004%, 0.09285
kategorimedaljevindere, 0.00004%, 0.09282
vende, 0.00004%, 0.09281
label, 0.00004%, 0.09283
tvunget, 0.00004%, 0.09284
efterfulgt, 0.00004%, 0.09288
storm, 0.00004%, 0.09287
bragte, 0.00004%, 0.09288
million, 0.00004%, 0.09292
knudsen, 0.00004%, 0.09294
drevet, 0.00004%, 0.09293
ac, 0.00004%, 0.09297
books, 0.00004%, 0.09293
mindste, 0.00004%, 0.09295
forskel, 0.00004%, 0.09299
kevin, 0.00004%, 0.09303
købt, 0.00004%, 0.09307
solen, 0.00004%, 0.09308
forfatteren, 0.00004%, 0.09312
udstyret, 0.00004%, 0.09316
administration, 0.00004%, 0.09320
benyttede, 0.00004%, 0.09319
vender, 0.00004%, 0.09320
kategoritidligere, 0.00004%, 0.09314
kategorifolketingsmedlemmer, 0.00004%, 0.09313
ab, 0.00004%, 0.09317
fange, 0.00004%, 0.09311
fuldt, 0.00004%, 0.09313
borgerkrig, 0.00004%, 0.09312
øerne, 0.00004%, 0.09316
derpå, 0.00004%, 0.09317
avisen, 0.00004%, 0.09314
kirsten, 0.00004%, 0.09315
ligner, 0.00004%, 0.09312
fremtrædende, 0.00004%, 0.09316
opdaget, 0.00004%, 0.09312
forholdet, 0.00004%, 0.09311
dsb, 0.00004%, 0.09315
udpeget, 0.00004%, 0.09316
lejlighed, 0.00004%, 0.09318
debat, 0.00004%, 0.09322
europæisk, 0.00004%, 0.09325
business, 0.00004%, 0.09322
knap, 0.00004%, 0.09319
kreds, 0.00004%, 0.09322
tegninger, 0.00004%, 0.09319
erklærede, 0.00004%, 0.09315
flemming, 0.00004%, 0.09317
elektrisk, 0.00004%, 0.09316
brev, 0.00004%, 0.09320
jf, 0.00004%, 0.09314
damer, 0.00004%, 0.09317
naturlige, 0.00004%, 0.09319
talrige, 0.00004%, 0.09323
vises, 0.00004%, 0.09322
udsat, 0.00004%, 0.09325
besøgte, 0.00004%, 0.09322
laver, 0.00004%, 0.09326
sognet, 0.00004%, 0.09325
miljø, 0.00004%, 0.09316
lader, 0.00004%, 0.09315
koncert, 0.00004%, 0.09319
schmidt, 0.00004%, 0.09320
sam, 0.00004%, 0.09324
numre, 0.00004%, 0.09320
rapport, 0.00004%, 0.09324
other, 0.00004%, 0.09321
jim, 0.00004%, 0.09324
hundrede, 0.00004%, 0.09326
korps, 0.00004%, 0.09330
sket, 0.00004%, 0.09331
situation, 0.00004%, 0.09332
bay, 0.00004%, 0.09334
allan, 0.00004%, 0.09332
musikere, 0.00004%, 0.09314
kalder, 0.00004%, 0.09281
fox, 0.00004%, 0.09284
romanen, 0.00004%, 0.09288
hertil, 0.00004%, 0.09280
musikken, 0.00004%, 0.09283
produkter, 0.00004%, 0.09285
indlemmet, 0.00004%, 0.09288
demokratiske, 0.00004%, 0.09292
but, 0.00004%, 0.09291
kørt, 0.00004%, 0.09280
global, 0.00004%, 0.09284
das, 0.00004%, 0.09287
kæmpe, 0.00004%, 0.09286
myndigheder, 0.00004%, 0.09287
salg, 0.00004%, 0.09289
sønnen, 0.00004%, 0.09290
kommunens, 0.00004%, 0.09274
tvivl, 0.00004%, 0.09275
strand, 0.00004%, 0.09279
get, 0.00004%, 0.09278
forbindelser, 0.00004%, 0.09279
vinteren, 0.00004%, 0.09280
vindere, 0.00004%, 0.09279
arts, 0.00004%, 0.09278
sebastian, 0.00004%, 0.09281
forskere, 0.00004%, 0.09283
gentofte, 0.00004%, 0.09286
modtager, 0.00004%, 0.09285
hot, 0.00004%, 0.09279
ændring, 0.00004%, 0.09270
værket, 0.00004%, 0.09271
jos, 0.00004%, 0.09275
vedtaget, 0.00004%, 0.09276
lolland, 0.00004%, 0.09275
edition, 0.00004%, 0.09276
number, 0.00004%, 0.09260
pierre, 0.00004%, 0.09263
lægger, 0.00004%, 0.09262
forbi, 0.00004%, 0.09266
hits, 0.00004%, 0.09267
statsminister, 0.00004%, 0.09266
jersey, 0.00004%, 0.09267
home, 0.00004%, 0.09268
ens, 0.00004%, 0.09264
nat, 0.00004%, 0.09266
carlos, 0.00004%, 0.09264
hårdt, 0.00004%, 0.09260
arten, 0.00004%, 0.09264
dør, 0.00004%, 0.09265
efterfølger, 0.00004%, 0.09266
don, 0.00004%, 0.09262
santa, 0.00004%, 0.09266
tony, 0.00004%, 0.09267
thumben, 0.00004%, 0.09269
sydøstlige, 0.00004%, 0.09272
udvalgt, 0.00004%, 0.09273
chile, 0.00004%, 0.09277
singler, 0.00004%, 0.09273
mulige, 0.00004%, 0.09272
loven, 0.00004%, 0.09273
dækket, 0.00004%, 0.09274
muligheder, 0.00004%, 0.09275
såkaldt, 0.00004%, 0.09279
holdene, 0.00004%, 0.09283
falster, 0.00004%, 0.09284
teatret, 0.00004%, 0.09285
broen, 0.00004%, 0.09289
kurt, 0.00004%, 0.09272
kategoriansatte, 0.00004%, 0.09273
digter, 0.00004%, 0.09269
trap, 0.00004%, 0.09273
forlade, 0.00004%, 0.09274
sommer, 0.00004%, 0.09275
holstebro, 0.00004%, 0.09276
bilen, 0.00004%, 0.09277
opslag, 0.00004%, 0.09278
træer, 0.00004%, 0.09282
beliggenhed, 0.00004%, 0.09273
fodboldlandshold, 0.00004%, 0.09277
iran, 0.00004%, 0.09275
betale, 0.00004%, 0.09279
tag, 0.00004%, 0.09280
research, 0.00004%, 0.09281
struktur, 0.00004%, 0.09282
talte, 0.00004%, 0.09278
rowspan, 0.00004%, 0.09282
fint, 0.00004%, 0.09280
væsentlig, 0.00004%, 0.09281
mission, 0.00004%, 0.09280
videnskab, 0.00004%, 0.09281
finn, 0.00004%, 0.09285
mølle, 0.00004%, 0.09286
kommende, 0.00004%, 0.09282
after, 0.00004%, 0.09285
grev, 0.00004%, 0.09273
lake, 0.00004%, 0.09264
rio, 0.00004%, 0.09258
hhv, 0.00004%, 0.09254
virkeligheden, 0.00004%, 0.09252
dans, 0.00004%, 0.09253
gunnar, 0.00004%, 0.09254
borgen, 0.00004%, 0.09253
voksne, 0.00004%, 0.09256
country, 0.00004%, 0.09260
omfang, 0.00004%, 0.09258
profil, 0.00004%, 0.09259
spidsen, 0.00004%, 0.09260
kratere, 0.00004%, 0.09264
forbund, 0.00004%, 0.09265
problemet, 0.00004%, 0.09266
sun, 0.00004%, 0.09270
jyske, 0.00004%, 0.09273
volume, 0.00004%, 0.09277
skrives, 0.00004%, 0.09275
slette, 0.00004%, 0.09276
lady, 0.00004%, 0.09280
dont, 0.00004%, 0.09278
atp, 0.00004%, 0.09282
støtter, 0.00004%, 0.09280
varme, 0.00004%, 0.09281
grunden, 0.00004%, 0.09285
lad, 0.00004%, 0.09283
løsning, 0.00004%, 0.09287
åbent, 0.00004%, 0.09285
